Sample_ID,A_10_NIT_LMR_IN_USB_00_00_00.csv,A_1_NIT_LMR_IN_USB_03_19_19.csv,A_2_NIT_LMR_IN_USB_03_14_19.csv,A_3_NIT_LMR_IN_USB_00_00_00.csv,A_4_NIT_LMR_IN_USB_00_00_00.csv,A_5_NIT_LMR_IN_USB_03_21_19.csv,A_6_NIT_LMR_IN_USB_03_22_19.csv,A_7_NIT_LMR_IN_USB_03_22_19.csv,A_8_NIT_LMR_IN_USB_03_28_19.csv,A_9_NIT_LMR_IN_USB_03_29_19.csv,B_1_NIT_LMR_IN_USB_04_02_19.csv,B_2_NIT_LMR_IN_USB_04_02_19.csv,C_1_NIT_LMR_IN_USB_04_02_19.csv
IN-1155,,,,,13.195082538092146,,,,,,,,
IN-1156,,,,,12.06056560892461,,,,,,,,
IN-1157,,,,,11.493307144340845,,,,,,,,
IN-1158,,,,,9.110821593089028,,,,,,,,
IN-1159,,,,,10.358790215173315,,,,,,,,
IN-1160,,,,,11.947113916007858,,,,,,,,
IN-1161,,,,,,14.323562155547574,,,,,,,
IN-1162,,,,,,12.167669546495896,,,,,,,
IN-1163,,,,,,9.898308905388863,,,,,,,
IN-1164,,,,,,7.62894826428183,,,,,,,
IN-1165,,,,,,x_6.607735975783667,,,,,6.0027571267849,,
IN-1166,,,,,,6.721204007839018,,,,,,,
IN-1167,,,,,,8.423224488669293,,,,,,,
IN-1168,,,,,,8.650160552779996,,,,,,,
IN-1169,,,,,,7.9693523604478855,,,,,,,
IN-1170,,,,,,6.153863847562259,,,,,,,
IN-1171,,,,,,11.259925290053081,,,,,,,
IN-1172,,,,,,6.948140071949719,,,,,,,
IN-1173,,,,,,4.79224746289804,,,,,,,
IN-1174,,,,,,7.175076136060424,,,,,,,
IN-1175,,,,,,9.104032681001403,,,,,,,
IN-1176,,,,,,8.990564648946052,,,,,,,
IN-1177,,,,,,5.47305565523015,,,,,,,
IN-1178,,,,,,7.402012200171126,,,,,,,
IN-1179,,,,,,10.806053161831676,,,,,,,
IN-1180,,,,,,8.536692520724644,,,,,,,
IN-1181,,,,,,7.9693523604478855,,,,,,,
IN-1182,,,,,,x_10.238713001554917,,,,,x_9.984196767509209,8.79344153632287,
IN-1183,,,,,,7.855884328392532,,,,,,,
IN-1184,,,,,,x_10.579117097720976,,,,,7.329903673693001,,
IN-1185,,,,,,x_8.196288424558588,,,,,7.661690310420028,,
IN-1186,,,,,,8.8770966168907,,,,,,,
IN-1187,,,,,,11.032989225942378,,,,,,,
IN-1188,,,,,,8.536692520724644,,,,,,,
IN-1189,,,,,,,7.30326866858349,,,,,,
IN-1190,,,,,,,10.45748840915809,,,,,,
IN-1191,,,,,,,10.45748840915809,,,,,,
IN-1192,,,,,,,9.781584179034962,,,,x_7.772285855995702,7.546076797731596,
IN-1193,,,,,,,8.091823603727141,,,,,,
IN-1194,,,,,,,11.583995459363301,,,,,,
IN-1195,,,,,,,29.946060377708285,,,,,,
IN-1196,,,,,,,31.18521813293402,,,,,,
IN-1197,,,,,,,28.4816012124415,,,,,,
IN-1198,,,,,,,25.89063499696951,,,,,,
IN-1199,,,,,,,38.169561844206335,,,,,,
IN-1200,,,,,,,53.264756316956195,,,,,,
IN-1201,,,,,,,33.2129308233034,,,,,,
IN-1202,,,,,,,35.35329421869331,,,,,,
IN-1203,,,,,,,23.187018076477,,,,,,
IN-1204,,,,,,,44.027398505273446,,,,,,
IN-1205,,,,,,,x_6.965316553521926,,,,21.707324598530782,,
IN-1206,,,,,,,56.86957887761288,,,,,,
IN-1207,,,,,,,40.19727453457572,,,,,,
IN-1208,,,,,,,31.6358209530161,,,,,,
IN-1209,,,,,,,26.79184063713368,,,,,,
IN-1210,,,,,,,40.87317876469885,,,,,,
IN-1211,,,,,,,83.00454244237383,,,,,,
IN-1212,,,,,,,22.849065961415437,,,,,,
IN-1213,,,,,,,45.49185767054023,,,,,,
IN-1214,,,,,,,35.12799280865226,,,,,,
IN-1215,,,,,,,47.406919655889084,,,,,,
IN-1216,,,,,,,29.27015614758515,,,,,,
IN-1217,,,,,,,,-7.2115384610374225,,,,,
IN-1218,,,,,,,,-7.211538461088812,,,,,
IN-1219,,,,,,,,x_-7.211538460857561,,,32.766879156098305,,
IN-1220,,,,,,,,-7.2115384610374225,,,,,
IN-1221,,,,,,,,-7.211538461063117,,,,,
IN-1222,,,,,,,,-7.211538460806173,,,,,
IN-1223,,,,,,,,-7.211538460831866,,,,,
IN-1224,,,,,,,,-7.2115384610374225,,,,,
IN-1225,,,,,,,,-7.211538460831866,,,,,
IN-1226,,,,,,,,-7.211538460883256,,,,,
IN-1227,,,,,,,,-7.211538460831866,,,,,
IN-1228,,,,,,,,-7.211538461114506,,,,,
IN-1229,,,,,,,,x_-7.211538460934645,,,37.85427425257936,,
IN-1230,,,,,,,,x_-7.211538461140201,,,20.38017805162268,,
IN-1231,,,,,,,,-7.211538460831866,,,,,
IN-1232,,,,,,,,x_-7.211538460806173,,,23.808639964468608,,
IN-1233,,,,,,,,-7.211538460960339,,,,,
IN-1234,,,,,,,,x_-7.211538460831866,,,43.82643371366582,,
IN-1235,,,,,,,,-7.2115384607033945,,,,,
IN-1236,,,,,,,,-7.211538460857561,,,,,
IN-1237,,,,,,,,-7.211538461063117,,,,,
IN-1238,,,,,,,,-7.211538461063117,,,,,
IN-1239,,,,,,,,-7.211538460831866,,,,,
IN-1240,,,,,,,,-7.2115384610117275,,,,,
IN-1241,,,,,,,,-7.2115384607033945,,,,,
IN-1242,,,,,,,,-7.211538460960339,,,,,
IN-1243,,,,,,,,-7.2115384607033945,,,,,
IN-1244,,,,,,,,-7.211538461088812,,,,,
IN-1245,,,,,,,,,35.67956171470108,,,,
IN-1246,,,,,,,,,46.940750557018006,,,,
IN-1247,,,,,,,,,25.544491756615837,,,,
IN-1248,,,,,,,,,45.36418411909363,,,,
IN-1249,,,,,,,,,45.138960342247294,,,,
