Sample_ID,A_1_NIT_LMR_MN_USB_00_00_00.csv,A_3_NIT_LMR_MN_USB_03_15_19.csv,A_4_NIT_LMR_MN_USB_03_08_19.csv,B_1_NIT_LMR_MN_USB_00_00_00.csv,B_2_NIT_LMR_MN_USB_03_08_19.csv
MN-0953,73.57187297814512,,,,
MN-0954,103.14773381168663,,,,
MN-0955,50.05371858038923,,,,
MN-0956,115.97581802864438,,,,
MN-0957,81.64881489252593,,,,
MN-0958,80.81736498957498,,,,
MN-0959,103.62284804194432,,,,
MN-0960,88.30041411613365,,,,
MN-0961,67.39538798479508,,,,
MN-0962,99.94071275744719,,,,
MN-0963,78.20423672315763,,,,
MN-0964,79.74835797149515,,,,
MN-0965,110.86834005337417,,,,
MN-0966,72.977980190323,,,,
MN-0967,42.451890896266114,,,,
MN-0968,65.49493106376431,,,,
MN-0969,60.03111741580083,,,,
MN-0970,75.35355134161148,,,,
MN-0971,75.59110845674032,,,,
MN-0972,157.073198945935,,,,
MN-0973,75.23477278404707,,,,
MN-0974,86.16240007997405,,,,
MN-0975,110.9871186109386,,,,
MN-0976,136.6432870448541,,,,
MN-0977,53.26073963462867,,,,
MN-0978,104.33551938733088,,,,
MN-0979,90.4384281522933,,,,
MN-0980,84.61827883163653,,,,
MN-0981,,,,101.8505738547715,
MN-0982,,,,135.62597818465196,
MN-0983,,,,67.62180839294633,
MN-0984,,,,94.37011517768387,
MN-0985,,,,99.0170667801171,
MN-0986,,,,64.9016416012781,
MN-0987,,,,82.01602433219071,
MN-0988,,,,75.44228791899249,
MN-0989,,,,91.9899692349742,
MN-0990,,,,92.89669149886359,
MN-0991,,,,79.635878389481,
MN-0992,,,,81.4493229172598,
MN-0993,,,,79.52253810649482,
MN-0994,,,,107.06422687213558,
MN-0995,,,,54.474335566549904,
MN-0996,,,,41.100182174181136,
MN-0997,,,,99.0170667801171,
MN-0998,,,,54.58767584953608,
MN-0999,,,,66.03504443113987,
MN-1000,,,,55.04103698148079,
MN-1001,,,,38.15333481654055,
MN-1002,,,,9.024882089093305,
MN-1003,,,,8.118159825203895,
MN-1004,,,,6.871416712355959,
MN-1005,,,,63.314877639471646,
MN-1006,,,,x_18.205445010973566,
MN-1007,,,,24.09913972625472,
MN-1008,,,,7.778138976245368,
MN-1009,,11.334733715939404,,,
MN-1010,,29.789921819045542,,,
MN-1011,,43.08682753308475,,,
MN-1012,,47.67196743447757,,,
MN-1013,,x_8.239764282499245,,,
MN-1014,,8.583649775103707,,,
MN-1015,,10.417705735660839,,,
MN-1016,,55.12281977424093,,,
MN-1017,,23.25609745956076,,,
MN-1018,,33.458033740159806,,,
MN-1019,,15.461359627192945,,,
MN-1020,,44.11848401089813,,,
MN-1021,,x_10.64696273073048,7.797763937461339,,7.797763937461339
MN-1022,,29.21677933137144,,,
MN-1023,,23.02684046449112,,,
MN-1024,,36.89688866620442,,,
MN-1025,,8.239764282499245,,,
MN-1026,,51.56933635066148,,,
MN-1027,,11.105476720869763,,,
MN-1028,,10.876219725800121,,,
MN-1029,,27.382723370814308,,,
MN-1030,,41.1381430749928,,,
MN-1031,,x_7.093479307151036,,,7.797763937461339
MN-1032,,45.723282976385626,,,
MN-1033,,8.92753526770817,,,
MN-1034,,16.722273100075974,,,
MN-1035,,70.02452445376761,,,
MN-1036,,27.611980365883948,,,
MN-1037,,,12.042592826918158,,
MN-1038,,,21.908951867277256,,
MN-1039,,,11.468967301315885,,
MN-1040,,,25.121254810649987,,
MN-1041,,,21.908951867277256,,
MN-1042,,,18.58192381878407,,
MN-1043,,,26.956856492577252,,
MN-1044,,,13.304568983243161,,
MN-1045,,,17.205222557338615,,
MN-1046,,,16.975772347097706,,
MN-1047,,,16.975772347097706,,
MN-1048,,,16.057971506134074,,
MN-1323,,,182.63882414103415,,
MN-1324,,,223.25151135367506,,
MN-1325,,,204.8954945344023,,
MN-1326,,,228.29941597897505,,
MN-1327,,,242.86950432927284,,
MN-1328,,,222.6778858280728,,
MN-1329,,,244.5903809060797,,
MN-1330,,,183.09772456151595,,
MN-1331,,,242.41060390879102,,
MN-1332,,,226.11963898168642,,
MN-1333,,,224.97238793048191,,
MN-1334,,,216.25327994132735,,
