Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.005
B,,1_2,0.005
B,,2_1,0.004
B,,2_2,0.005
C,,0,0.002
C,,0,0.002
C,,0,0.002
C,,1500,0.174
C,,1500,0.172
C,,1500,0.173
C,,3000,0.334
C,,3000,0.341
C,,3000,0.33
C,,4500,0.469
C,,4500,0.499
C,,4500,0.486
O,,A-29,0.071
D,,A-29,0.071
O,,A-30,0.07
D,,A-30,0.071
O,,A-31,0.114
D,,A-31,0.115
O,,A-32,0.108
D,,A-32,0.109
O,,A-33,0.095
D,,A-33,0.093
O,,A-34,0.081
D,,A-34,0.08
O,,A-35,0.075
D,,A-35,0.075
O,,A-36,0.097
D,,A-36,0.102
O,,A-37,0.101
D,,A-37,0.099
O,,A-38,0.081
D,,A-38,0.084
O,,A-39,0.085
D,,A-39,0.082
O,,A-40,0.087
D,,A-40,0.086
O,,A-41,0.098
D,,A-41,0.095
O,,A-42,0.092
D,,A-42,0.089
O,,A-43,0.084
D,,A-43,0.088
O,,A-44,0.093
D,,A-44,0.088
O,,A-45,0.089
D,,A-45,0.091
O,,A-46,0.087
D,,A-46,0.088
O,,A-47,0.076
D,,A-47,0.084
O,,A-48,0.072
D,,A-48,0.068
O,,A-49,0.06
D,,A-49,0.061
O,,A-50,0.075
D,,A-50,0.074
O,,A-51,0.075
D,,A-51,0.076
O,,A-52,0.07
D,,A-52,0.065
O,,A-53,0.066
D,,A-53,0.073
O,,A-54,0.098
D,,A-54,0.096
O,,A-55,0.058
D,,A-55,0.059
O,,A-56,0.064
D,,A-56,0.061
