Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.009
B,,1_2,0.008
B,,2_1,0.007
B,,2_2,0.008
C,,0,0.007
C,,0,0.007
C,,0,0.008
C,,549.5825955,0.361
C,,549.5825955,0.363
C,,549.5825955,0.37
C,,1099.165191,0.719
C,,1099.165191,0.735
C,,1099.165191,0.705
C,,4396.660764,2.755
C,,4396.660764,2.765
C,,4396.660764,2.791
O,0.3,A-01,0.868
D,,A-01,0.914
O,0.3,A-02,0.361
D,,A-02,0.338
O,0.3,A-03,0.959
D,,A-03,0.973
O,0.3,A-04,0.796
D,,A-04,0.814
O,0.3,A-05,0.603
D,,A-05,0.599
O,0.3,A-06,1.194
D,,A-06,1.269
O,0.3,A-07,1.152
D,,A-07,1.163
O,0.3,A-08,0.616
D,,A-08,0.595
O,0.3,A-09,0.888
D,,A-09,0.905
O,0.3,A-10,0.519
D,,A-10,0.556
O,0.3,A-11,0.794
D,,A-11,0.792
O,0.3,A-12,0.746
D,,A-12,0.777
O,0.3,A-13,0.517
D,,A-13,0.511
O,0.3,A-14,1.313
D,,A-14,1.27
O,0.3,A-15,1.118
D,,A-15,1.16
O,0.3,A-16,1.096
D,,A-16,1.094
O,0.3,A-17,0.696
D,,A-17,0.651
O,0.3,A-18,2.248
D,,A-18,2.308
O,0.3,A-19,0.884
D,,A-19,0.884
O,0.3,A-20,1.363
D,,A-20,1.366
O,0.3,A-21,0.446
D,,A-21,0.446
O,0.3,A-22,1.218
D,,A-22,1.238
O,0.3,A-23,0.972
D,,A-23,0.982
O,0.3,A-24,0.751
D,,A-24,0.772
O,0.3,A-25,0.922
D,,A-25,0.923
O,0.3,A-26,0.628
D,,A-26,0.626
O,0.2,A-27,0.878
D,,A-27,0.905
O,0.3,A-28,0.528
D,,A-28,0.551
