Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.007
B,,1_2,0.006
B,,2_1,0.008
B,,2_2,0.006
C,,0,0.004
C,,0,0.004
C,,0,0.003
C,,549.5825955,0.369
C,,549.5825955,0.367
C,,549.5825955,0.371
C,,1099.165191,0.733
C,,1099.165191,0.737
C,,1099.165191,0.731
C,,4396.660764,2.833
C,,4396.660764,2.808
C,,4396.660764,2.826
O,,A-113,0.972
D,,A-113,1.013
O,,A-114,1.528
D,,A-114,1.545
O,,A-115,0.212
D,,A-115,0.205
O,,A-116,1.43
D,,A-116,1.448
O,,A-117,0.225
D,,A-117,0.218
O,,A-118,0.146
D,,A-118,0.151
O,,A-119,0.15
D,,A-119,0.15
O,,A-120,0.159
D,,A-120,0.155
