Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.002
B,,1_2,0.001
B,,2_1,0.005
B,,2_2,0.004
C,,0,-0.001
C,,0,0.004
C,,0,-0.001
C,,1500,0.152
C,,1500,0.141
C,,1500,0.139
C,,3000,0.318
C,,3000,0.288
C,,3000,0.289
C,,4500,0.487
C,,4500,0.481
C,,4500,0.472
O,0.3,LIF-419,0.641
D,,LIF-419,0.526
O,0.3,LIF-420,0.33
D,,LIF-420,0.276
O,0.3,LIF-421,0.128
D,,LIF-421,0.123
O,0.3,LIF-422,0.176
D,,LIF-422,0.173
O,0.3,LIF-423,0.186
D,,LIF-423,0.209
O,0.3,LIF-424,0.227
D,,LIF-424,0.208
O,0.3,LIF-425,0.208
D,,LIF-425,0.214
O,0.3,LIF-426,0.175
D,,LIF-426,0.172
O,0.3,LIF-427,0.17
D,,LIF-427,0.165
O,0.3,LIF-428,0.166
D,,LIF-428,0.174
O,0.3,LIF-429,0.171
D,,LIF-429,0.153
O,0.3,LIF-430,0.281
D,,LIF-430,0.286
O,0.3,LIF-431,0.404
D,,LIF-431,0.383
O,0.3,LIF-432,0.096
D,,LIF-432,0.095
O,0.3,LIF-433,0.123
D,,LIF-433,0.109
O,0.3,LIF-434,0.117
D,,LIF-434,0.099
O,0.3,LIF-435,0.159
D,,LIF-435,0.15
O,0.3,LIF-436,0.239
D,,LIF-436,0.245
O,0.3,LIF-437,0.119
D,,LIF-437,0.087
O,0.3,LIF-438,0.088
D,,LIF-438,0.073
O,0.3,LIF-439,0.079
D,,LIF-439,0.082
O,0.3,LIF-440,0.088
D,,LIF-440,0.088
O,0.3,LIF-441,0.195
D,,LIF-441,0.18
O,0.3,LIF-442,0.146
D,,LIF-442,0.159
O,0.3,LIF-443,0.211
D,,LIF-443,0.215
O,0.3,LIF-444,0.1
D,,LIF-444,0.093
O,0.3,LIF-445,0.157
D,,LIF-445,0.162
O,0.3,LIF-446,0.124
D,,LIF-446,0.139
