Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.003
B,,1_2,0.010
B,,2_1,0.004
B,,2_2,0.004
C,,0,0.003
C,,0,0.003
C,,0,0.010
C,,1500,0.163
C,,1500,0.163
C,,1500,0.164
C,,3000,0.322
C,,3000,0.317
C,,3000,0.307
C,,4500,0.447
C,,4500,0.470
C,,4500,0.462
O,,LIG-51,0.073
D,,LIG-51,0.081
O,,LIG-52,0.072
D,,LIG-52,0.070
O,,LIG-53,0.093
D,,LIG-53,0.092
O,,LIG-54,0.088
D,,LIG-54,0.084
O,,LIG-55,0.126
D,,LIG-55,0.123
O,,LIG-56,0.067
D,,LIG-56,0.066
O,,LIG-57,0.192
D,,LIG-57,0.208
O,,LIG-58,0.150
D,,LIG-58,0.142
O,,LIG-59,0.180
D,,LIG-59,0.178
O,,LIG-60,0.107
D,,LIG-60,0.111
O,,LIG-61,0.058
D,,LIG-61,0.059
O,,LIG-62,0.032
D,,LIG-62,0.031
O,,LIG-63,0.047
D,,LIG-63,0.046
O,,LIG-64,0.015
D,,LIG-64,0.015
O,,LIG-65,0.055
D,,LIG-65,0.055
O,,LIG-66,0.053
D,,LIG-66,0.054
O,,LIG-67,0.056
D,,LIG-67,0.061
O,,LIG-68,0.065
D,,LIG-68,0.069
O,,LIG-69,0.055
D,,LIG-69,0.056
O,,LIG-70,0.069
D,,LIG-70,0.068
O,,LIG-71,0.058
D,,LIG-71,0.056
O,,LIG-72,0.057
D,,LIG-72,0.054
O,,LIG-73,0.062
D,,LIG-73,0.066
