Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,MR_USB_181,
D,,MR_USB_181,
O,,MR_USB_182,
D,,MR_USB_182,
O,,MR_USB_183,
D,,MR_USB_183,
O,,MR_USB_184,
D,,MR_USB_184,
O,,MR_USB_185,
D,,MR_USB_185,
O,,MR_USB_186,
D,,MR_USB_186,
O,,MR_USB_187,
D,,MR_USB_187,
O,,MR_USB_188,
D,,MR_USB_188,
O,,MR_USB_189,
D,,MR_USB_189,
O,,MR_USB_190,
D,,MR_USB_190,
O,,MR_USB_191,
D,,MR_USB_191,
O,,MR_USB_192,
D,,MR_USB_192,
O,,MR_USB_193,
D,,MR_USB_193,
O,,MR_USB_194,
D,,MR_USB_194,
O,,MR_USB_195,
D,,MR_USB_195,
O,,MR_USB_196,
D,,MR_USB_196,
O,,MR_USB_197,
D,,MR_USB_197,
O,,MR_USB_198,
D,,MR_USB_198,
O,,MR_USB_199,
D,,MR_USB_199,
O,,MR_USB_200,
D,,MR_USB_200,
