Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,MR_USB_061,
D,,MR_USB_061,
O,,MR_USB_062,
D,,MR_USB_062,
O,,MR_USB_063,
D,,MR_USB_063,
O,,MR_USB_064,
D,,MR_USB_064,
O,,MR_USB_065,
D,,MR_USB_065,
O,,MR_USB_066,
D,,MR_USB_066,
O,,MR_USB_067,
D,,MR_USB_067,
O,,MR_USB_068,
D,,MR_USB_068,
O,,MR_USB_069,
D,,MR_USB_069,
O,,MR_USB_070,
D,,MR_USB_070,
O,,MR_USB_071,
D,,MR_USB_071,
O,,MR_USB_072,
D,,MR_USB_072,
O,,MR_USB_073,
D,,MR_USB_073,
O,,MR_USB_074,
D,,MR_USB_074,
O,,MR_USB_075,
D,,MR_USB_075,
O,,MR_USB_076,
D,,MR_USB_076,
O,,MR_USB_077,
D,,MR_USB_077,
O,,MR_USB_078,
D,,MR_USB_078,
O,,MR_USB_079,
D,,MR_USB_079,
O,,MR_USB_080,
D,,MR_USB_080,
