Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,549.5825955,
C,,549.5825955,
C,,549.5825955,
C,,1099.165191,
C,,1099.165191,
C,,1099.165191,
C,,4396.660764,
C,,4396.660764,
C,,4396.660764,
O,,RV_CTS_041,
D,,RV_CTS_041,
O,,RV_CTS_042,
D,,RV_CTS_042,
O,,RV_CTS_043,
D,,RV_CTS_043,
O,,RV_CTS_044,
D,,RV_CTS_044,
O,,RV_CTS_045,
D,,RV_CTS_045,
O,,RV_CTS_046,
D,,RV_CTS_046,
O,,RV_CTS_047,
D,,RV_CTS_047,
O,,RV_CTS_048,
D,,RV_CTS_048,
O,,RV_CTS_049,
D,,RV_CTS_049,
O,,RV_CTS_050,
D,,RV_CTS_050,
O,,RV_CTS_051,
D,,RV_CTS_051,
O,,RV_CTS_052,
D,,RV_CTS_052,
O,,RV_CTS_053,
D,,RV_CTS_053,
O,,RV_CTS_054,
D,,RV_CTS_054,
O,,RV_CTS_055,
D,,RV_CTS_055,
O,,RV_CTS_056,
D,,RV_CTS_056,
O,,RV_CTS_057,
D,,RV_CTS_057,
O,,RV_CTS_058,
D,,RV_CTS_058,
O,,RV_CTS_059,
D,,RV_CTS_059,
O,,RV_CTS_060,
D,,RV_CTS_060,
