Sample_ID,A_15_URE_MS_GH_LI_10_01_18.csv,A_16_URE_MS_GH_LI_10_02_18.csv,A_17_URE_MS_GH_LI_10_02_18.csv,A_1_URE_MS_GH_LI_06_25_18.csv,A_2_URE_MS_GH_LI_06_28_18.csv,A_3_URE_MS_GH_LI_07_02_18.csv,A_4_URE_MS_GH_LI_07_05_18.csv,A_7_URE_MS_GH_LI_07_05_18.csv,A_8_URE_MS_GH_LI_07_09_18.csv,A_9_URE_MS_GH_LI_07_10_18.csv,B_5_URE_MS_GH_LI_07_27_18.csv,B_6_URE_MS_GH_LI_10_03_18.csv,NO_BLANKS_QB_1_URE_MS_GH_LI_00_00_00.csv
LIG-106,,,,,,,,15.113052514401357,,,,,x_10.798558035807785
LIG-107,,,,,,,,13.884782076055194,,,3.237577657007912,,12.023052961893857
LIG-108,,,,,,,,16.878691269523962,,,,,11.104681767329303
LIG-109,,,,,,,,15.496887026384531,,,,,9.982228085083735
LIG-110,,,,,,,,16.494856757540788,,,,,11.104681767329303
LIG-111,,,,,,,,15.573653928781164,,,,,
LIG-112,,,,,,,,16.034255343160975,,,,,
LIG-113,,,,,,,,17.185758879110505,,,,,x_14.063877838703984
LIG-114,,,,,,,,15.957488440764342,,,,,
LIG-115,,,,,,,,16.418089855144153,,,,,
LIG-116,,,,,,,,17.26252578150714,,,,,
LIG-117,,,,,,,,16.571623659937423,,,,,
LIG-118,,,,,,,,16.18778914795425,,,,,
LIG-119,,,,,,,,17.032225074317232,,,,,
LIG-120,,,,,,,,,79.28217092904083,,,,
LIG-121,,,,,,,,,3.765335683430152,,,,
LIG-122,,,,,,,,,3.2701433211638515,,,,
LIG-123,,,,,,,,,3.3526753815415686,,,,
LIG-124,,,,,,,,,105.77496231028783,,,,
LIG-125,,,,,,,,,140.10829942741793,,,,
LIG-126,,,,,,,,,170.23250146528449,,,,
LIG-127,,,,,,,,,137.1371452538201,,,,
LIG-128,,,,,,,,,131.77256132926854,,,,
LIG-129,,,,,,,,,138.45765821986362,,,,
LIG-130,,,,,,,,,131.69002926889084,,,,
LIG-131,,,,,,,,,208.36231335978954,,,,
LIG-132,,,,,,,,,103.46406461971176,,,,
LIG-133,,,,,,,,,161.64916718600196,,,,
LIG-134,,,,,,,,,132.18522163115716,,,,
LIG-135,,,,,,,,,198.78859435597437,,,,
LIG-136,,,,,,,,,159.75092979731446,,,,
LIG-137,,,,,,,,,22.74770957030496,,,,
LIG-138,,,,,,,,,17.9608500683974,,,,
LIG-139,,,,,,,,,41.81261551755749,,,,
LIG-140,,,,,,,,,11.440817298557793,,,,
LIG-141,,,,,,,,,4.425592166451885,,,,
LIG-142,,,,,,,,,71.2765610724023,,,,
LIG-143,,,,,,,,,,47.267367667190896,,,43.75787979629129
LIG-144,,,,,,,,,,7.805291412133888,,,
LIG-145,,,,,,,,,,191.43659163261972,,,
LIG-146,,,,,,,,,,51.163833179770045,,,
LIG-147,,,,,,,,,,97.8385158091757,,,
LIG-148,,,,,,,,,,51.57835078749124,,,
LIG-149,,,,,,,,,,96.18044537829095,,,
LIG-150,,,,,,,,,,54.894491649260736,,,
LIG-151,,,,,,,,,,58.21063251103023,,,72.83963429083556
LIG-152,,,,,,,,,,162.66906965676935,,,201.4116015298734
LIG-153,,,,,,,,,,142.02609279225425,,,
LIG-154,,,,,,,,,,86.97815448688063,,,
LIG-155,,,,,,,,,,146.6686899987315,,,
LIG-156,,,,,,,,,,149.98483086050103,,,
