Sample_ID,A_1_URE_MS_OTT_LI_11_21_18.csv,A_3_URE_MS_OTT_LI_11_27_18.csv,A_4_URE_MS_OTT_LI_11_28_18.csv,A_4_URE_MS_OTT_LI_11_28_18edited.csv,A_5_URE_MS_OTT_LI_11_28_18.csv,B_2_URE_MS_OTT_LI_12_11_18.csv,B_7_URE_MS_OTT_LI_12_12_18.csv,QA_2_URE_MS_OTT_LI_11_26_18.csv
LIF-511,,,,,128.8792607392167,,,
LIF-512,,,,,353.034955397265,,,
LIF-513,,,,,98.34132249076029,,,
LIF-514,,,,,64.73152063151244,,,
LIF-515,,,,,87.86084664217765,,,
LIF-516,,,,,144.50962558236154,,,
LIF-517,,,,,54.07034692347147,,,
LIF-518,,,,,166.46441550654762,,,
LIF-519,,,,,66.35780136663735,,,
LIF-520,,,,,41.963590339763904,,,
LIF-521,,,,,111.35156837175948,,,
LIF-522,,,,,108.18935583123884,,,
LIF-523,,,,,88.13189343136513,,,
LIF-524,,,,,99.06411392859359,,,
LIF-525,,,,,46.93278147486775,,,
LIF-526,,,,,233.5033213655851,,,
LIF-527,,,,,,,229.83063243273426,
LIF-528,,,,,,,222.76890893547335,
LIF-529,,,,,,,192.99732464588433,
LIF-530,,,,,,,214.02200142182056,
LIF-531,,,,,,,84.343079017573,
LIF-532,,,,,,,99.75047573886975,
LIF-533,,,,,,,x_-5.051920709117367,
LIF-534,,,,,,,205.75657505570817,
LIF-535,,,,,,,203.91089732346953,
LIF-536,,,,,,,280.0651654927955,
LIF-537,,,,,,,102.31837519241921,
LIF-538,,,,,,,x_-4.891426993270526,
LIF-539,,,,,,,148.86155278800308,
LIF-540,,,,,,,312.56514295178084,
