Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.002
B,,1_2,0.003
B,,2_1,0.004
B,,2_2,0.002
C,,0,0.002
C,,0,0.002
C,,0,0.004
C,,1500,0.149
C,,1500,0.149
C,,1500,0.149
C,,3000,0.284
C,,3000,0.271
C,,3000,0.287
C,,4500,0.421
C,,4500,0.428
C,,4500,0.482
O,0.3,LIF-297,0.423
D,,LIF-297,0.424
O,0.3,LIF-298,1.201
D,,LIF-298,1.2
O,0.3,LIF-299,0.443
D,,LIF-299,0.439
O,0.3,LIF-300,0.42
D,,LIF-300,0.415
O,0.3,LIF-301,0.587
D,,LIF-301,0.558
O,0.3,LIF-302,0.424
D,,LIF-302,0.42
O,0.3,LIF-303,0.438
D,,LIF-303,0.419
O,0.3,LIF-304,0.583
D,,LIF-304,0.609
O,0.3,LIF-305,0.52
D,,LIF-305,0.532
O,0.3,LIF-306,0.709
D,,LIF-306,-0.172
O,0.3,LIF-307,0.694
D,,LIF-307,0.677
O,0.3,LIF-308,0.725
D,,LIF-308,0.748
O,0.3,LIF-309,0.377
D,,LIF-309,0.367
O,0.3,LIF-310,0.389
D,,LIF-310,0.376
O,0.3,LIF-311,0.448
D,,LIF-311,0.433
O,0.3,LIF-312,0.564
D,,LIF-312,0.527
O,0.3,LIF-313,0.677
D,,LIF-313,0.647
O,0.3,LIF-314,0.552
D,,LIF-314,0.577
O,0.3,LIF-315,0.506
D,,LIF-315,0.529
O,0.3,LIF-316,0.393
D,,LIF-316,0.394
O,0.3,LIF-317,0.563
D,,LIF-317,0.57
O,0.3,LIF-318,0.189
D,,LIF-318,0.181
O,0.3,LIF-319,0.623
D,,LIF-319,0.62
O,0.3,LIF-320,0.505
D,,LIF-320,0.503
O,0.3,LIF-321,0.338
D,,LIF-321,0.343
O,0.3,LIF-322,0.387
D,,LIF-322,0.375
O,0.3,LIF-323,0.724
D,,LIF-323,0.731
O,0.3,LIF-324,0.181
D,,LIF-324,0.178
