Sample_ID,N0,U0,N1,U1,N2,U2,N3,U3,N4,U4,N5,U5
MN-1037,,,,,12272.018037159069,13182.62737102143,,,,,,
MN-1038,,,,,22138.377077518166,11796.224719947968,,,,,,
MN-1039,,,,,11698.392511556794,20461.241289157115,,,,,,
MN-1040,,,,,25350.680020890894,25290.543857063014,,,,,,
MN-1041,,,,,22138.377077518166,10802.636153345316,,,,,,
MN-1042,,,,,18811.34902902498,13945.148829111838,,,,,,
MN-1043,,,,,27186.281702818167,19398.332590000795,,,,,,
MN-1044,,,,,13533.994193484068,34417.69464329664,,,,,,
MN-1045,,,,,17434.647767579525,17619.115854456515,,,,,,
MN-1046,,,,,17205.197557338615,26815.586773243824,,,,,,
MN-1047,,,,,17205.197557338615,13367.481057831228,,,,,,
MN-1048,,,,,16287.396716374982,10294.28851461838,,,,,,
MN-1323,,,,,182868.249351275,21177.54932554507,,,,,,
MN-1324,,,,,223480.93656391598,16117.17964912693,,,,,,
MN-1325,,,,,205124.91974464318,20207.067469793645,,,,,,
MN-1326,,,,,228528.84118921598,20599.88155426446,,,,,,
MN-1327,,,,,243098.92953951372,18127.46349318345,,,,,,
MN-1328,,,,,222907.31103831372,18612.704421059163,,,,,,
MN-1329,,,,,244819.80611632057,22309.778157255067,,,,,,
MN-1330,,,,,183327.14977175687,18404.744023398147,,,,,,
MN-1331,,,,,242640.02911903188,15262.231347631627,,,,,,
MN-1332,,,,,226349.0641919273,16302.033335936727,,,,,,
MN-1333,,,,,225201.81314072278,17942.609806373657,,,,,,
MN-1334,,,,,216482.70515156823,19121.0520597861,,,,,,
