Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
IN-1119,,,,,,,20804.11105237616,135293.00213718653,,,,,,,,,,,,,,,,
IN-1120,,,,,,,60008.962181563664,52559.81045534237,,,,,,,,,,,,,,,,
IN-1121,,,,,,,31550.019042605258,111830.29385423272,,,,,,,,,,,,,,,,
IN-1122,,,,,,,26236.108497986475,118321.48578362135,,,,,,,,,,,,,,,,
IN-1123,,,,,,,25881.84779501189,140533.1643492748,,,,,,,,,,,,,,,,
IN-1124,,,,,,,26944.629903935645,120823.54521822206,,,,,,,,,,,,,,,,
IN-1125,,,,,,,27771.23821087635,127456.3631533428,,,,,,,,,,,,,,,,
IN-1126,,,,,,,19859.41584444393,140533.1643492748,,,,,,,,,,,,,,,,
IN-1127,,,,,,,18678.546834528643,119737.74584094252,,,,,,,,,,,,,,,,
IN-1128,,,,,,,64142.00371626717,77604.00913563813,,,,,,,,,,,,,,,,
IN-1129,,,,,,,29778.71552773234,129604.35757361322,,,,,,,,,,,,,,,,
IN-1130,,,,,,,30369.15003268998,121484.46657830525,,,,,,,,,,,,,,,,
IN-1131,,,,,,,10294.376864130109,16468.78332794162,,,,,,,,,,,,,12059.711543995716,,,
IN-1132,,,,,,,11239.07207206234,16704.82667082848,,,,,,,,,,,,,,,,
IN-1133,,,,,,,,,14120.286478053606,13209.111311788598,,,,,,,,,,,,,,
IN-1134,,,,,,,,,11054.248549906564,6852.585817071844,,,,,,,,,,,,,,
IN-1135,,,,,,,,,13325.387755941409,10473.391478619364,,,,,,,,,,,,,,
IN-1136,,,,,,,,,12189.818152923985,10815.356457765518,,,,,,,,,,,,,,
IN-1137,,,,,,,,,11508.47639111353,12484.950179479096,,,,,,,,,,,,,,
IN-1138,,,,,,,,,13211.830795639667,12867.146332642445,,,,,,,,,,,,,,
IN-1139,,,,,,,,,12076.261192622243,11801.020221186785,,,,,,,,,,,11617.07180153157,,,
IN-1140,,,,,,,,,13666.058636846637,12525.181353496291,,,,,,,,,,,,,,
IN-1141,,,,,,,,,17413.438326804127,12726.337223582263,,,,,,,,,,,,,,
IN-1142,,,,,,,,,14688.071279562317,14959.167381536568,,,,,,,,,,,,,,
IN-1143,,,,,,,,,11735.590311717015,9930.270629387234,,,,,,,,,,,,,,
IN-1144,,,,,,,,,12189.818152923985,12505.065766487694,,,,,,,,,,,,,,
IN-1145,,,,,,,,,10600.020708699594,6912.932578097636,,,,,,,,,,,,,,
IN-1146,,,,,,,,,12416.93207352747,9346.918606137911,,,,,,,,,,,,,,
IN-1147,,,,,,,,,14120.286478053606,10996.396740842894,,,,,,,,,,,,,,
IN-1148,,,,,,,,,13893.17255745012,13007.955441702628,,,,,,,,,,,,,,
IN-1149,,,,,,,,,15710.083922278,19646.099154539745,,,,,,,,,,,13830.270513852314,,,
IN-1150,,,,,,,,,12303.37511322573,16327.027298121186,,,,,,,,,,,,11473.906150065905,,
IN-1151,,,,,,,,,10486.463748397853,9487.727715198092,,,,,,,,,,,,,,
IN-1152,,,,,,,,,17526.995287105878,23810.025665319394,,,,,,,,,,,,,,
IN-1153,,,,,,,,,10827.134629303078,9165.878323060537,,,,,,,,,,,,,,
IN-1154,,,,,,,,,11849.14727201876,8361.254842716642,,,,,,,,,,,,,,
IN-1155,,,,,,,,,13893.17255745012,12766.568397599456,,,,,,,,,,,,,,
IN-1156,,,,,,,,,12757.602954432698,11096.974675885878,,,,,,,,,,,,,,
IN-1157,,,,,,,,,12189.818152923985,18640.31980410988,,,,,,,,,,,,,,
